"Date","Price","Open","High","Low","Vol.","Change %"
"10/19/2025","32.016","31.775","32.795","31.435","17.97K","0.63%"
"10/12/2025","31.816","31.825","32.650","31.345","13.12K","-1.10%"
"10/05/2025","32.170","32.450","33.625","31.880","16.60K","2.33%"
"09/28/2025","31.438","32.280","32.280","30.790","14.87K","-3.85%"
"09/21/2025","32.697","32.100","32.710","31.765","1.05K","1.20%"
"09/14/2025","32.308","32.200","33.035","31.910","13.97K","-1.08%"
"09/07/2025","32.662","32.200","33.420","32.065","16.77K","2.17%"
"08/31/2025","31.969","32.200","32.705","31.420","20.54K","1.10%"
"08/24/2025","31.622","33.275","33.820","31.275","4.86K","-5.81%"
"08/17/2025","33.573","30.650","33.600","30.650","11.26K","8.19%"
"08/10/2025","31.031","32.490","33.125","30.795","11.55K","-4.36%"
"08/03/2025","32.446","34.065","34.440","32.155","22.44K","-4.49%"
"07/27/2025","33.972","32.295","35.425","32.130","8.16K","4.53%"
"07/20/2025","32.499","33.830","33.915","32.100","16.13K","-3.26%"
"07/13/2025","33.595","35.540","36.320","33.430","59.51K","-5.53%"
"07/06/2025","35.561","33.210","35.615","32.985","54.91K","5.77%"
"06/29/2025","33.621","33.350","34.425","32.700","45.48K","1.61%"
"06/22/2025","33.087","41.600","41.900","33.087","5.83K","-19.16%"
"06/15/2025","40.929","38.670","41.795","37.395","30.21K","8.01%"
"06/08/2025","37.894","36.145","38.460","34.550","32.44K","4.53%"
"06/01/2025","36.251","34.100","36.720","34.100","18.98K","5.91%"
"05/25/2025","34.228","36.975","36.990","33.855","1.23K","-6.10%"
"05/18/2025","36.450","35.000","37.775","34.900","22.94K","3.68%"
"05/11/2025","35.156","34.555","36.305","34.425","39.16K","1.55%"
"05/04/2025","34.618","32.790","35.990","32.600","61.98K","4.66%"
"04/27/2025","33.078","32.700","33.630","30.900","8.71K","1.99%"
"04/20/2025","32.432","35.657","35.850","31.950","37.44K","-9.04%"
"04/13/2025","35.657","34.275","35.835","33.710","6.79K","6.56%"
"04/06/2025","33.463","34.645","38.560","32.805","44.13K","-8.07%"
"03/30/2025","36.401","40.825","42.950","35.265","16.41K","-10.31%"
"03/23/2025","40.587","42.405","42.690","40.555","0.77K","-4.74%"
"03/16/2025","42.605","41.395","44.755","39.850","32.06K","0.74%"
"03/09/2025","42.290","40.070","43.625","39.650","26.42K","5.80%"
"03/02/2025","39.971","46.950","47.230","37.205","20.66K","-9.81%"
"02/23/2025","44.320","46.135","47.260","41.336","0.71K","-6.09%"
"02/16/2025","47.195","50.005","50.895","46.105","5.97K","-6.89%"
"02/09/2025","50.685","57.300","59.335","48.390","137.36K","-9.04%"
"02/02/2025","55.723","54.200","56.050","51.390","73.05K","4.67%"
"01/26/2025","53.237","48.825","53.755","47.830","2.06K","7.11%"
"01/19/2025","49.702","46.650","50.700","46.150","107.20K","6.00%"
"01/12/2025","46.887","46.650","48.605","45.700","82.70K","4.17%"
"01/05/2025","45.008","49.100","49.250","43.225","46.91K","-9.30%"
"12/29/2024","49.622","48.300","50.695","47.235","4.78K","3.96%"
"12/22/2024","47.731","44.335","47.930","43.800","1.57K","8.16%"
"12/15/2024","44.130","40.185","44.465","38.955","21.14K","7.07%"
"12/08/2024","41.215","46.200","46.305","41.010","77.70K","-11.33%"
"12/01/2024","46.480","48.860","49.295","45.950","24.94K","-2.78%"
"11/24/2024","47.811","47.665","48.880","46.000","1.54K","1.69%"
"11/17/2024","47.018","45.480","49.240","45.275","72.26K","1.00%"
"11/10/2024","46.551","41.675","47.410","41.675","54.09K","9.77%"
"11/03/2024","42.409","39.495","43.055","39.040","19.05K","8.26%"
"10/27/2024","39.175","42.500","43.605","38.070","1.96K","-9.97%"
"10/20/2024","43.513","39.810","43.570","39.650","1.39K","10.99%"
"10/13/2024","39.204","39.320","40.705","38.975","0.73K","-1.69%"
"10/06/2024","39.879","40.205","40.945","38.100","1.22K","-2.69%"
"09/29/2024","40.980","39.205","41.170","37.445","0.90K","7.52%"
"09/22/2024","38.114","34.900","38.125","34.570","0.65K","10.65%"
"09/15/2024","34.444","35.110","36.695","32.525","1.69K","-3.38%"
"09/08/2024","35.648","36.900","37.845","34.845","2.23K","-2.28%"
"09/01/2024","36.480","39.845","39.845","35.605","2.43K","-8.40%"
"08/25/2024","39.825","36.775","40.235","36.175","0.74K","8.03%"
"08/18/2024","36.865","39.265","40.400","36.150","3.15K","-7.01%"
"08/11/2024","39.645","39.625","42.860","38.660","4.30K","-1.86%"
"08/04/2024","40.395","36.770","40.715","34.825","4.05K","10.22%"
"07/28/2024","36.650","33.475","37.090","33.350","2.15K","12.86%"
"07/21/2024","32.475","31.800","32.945","31.195","2.93K","0.95%"
"07/14/2024","32.170","31.860","33.250","31.075","2.36K","1.42%"
"07/07/2024","31.720","33.195","33.700","30.405","5.21K","-4.07%"
"06/30/2024","33.065","34.500","34.945","32.415","2.91K","-4.10%"
"06/23/2024","34.480","33.800","35.150","33.800","0.92K","1.60%"
"06/16/2024","33.936","35.400","35.690","33.870","2.43K","-4.03%"
"06/09/2024","35.360","33.005","36.750","32.430","2.11K","6.80%"
"06/02/2024","33.109","36.230","38.500","32.815","3.23K","-3.26%"
"05/26/2024","34.223","34.410","35.700","33.380","0.76K","0.32%"
"05/19/2024","34.115","31.320","36.165","31.245","4.62K","10.87%"
"05/12/2024","30.769","29.595","31.020","29.165","6.02K","2.46%"
"05/05/2024","30.030","30.720","32.175","29.655","6.62K","-1.64%"
"04/28/2024","30.530","27.994","31.780","27.994","3.93K","5.69%"
"04/21/2024","28.885","29.850","30.650","28.200","0.94K","-6.09%"
"04/14/2024","30.758","31.230","33.715","29.850","3.14K","0.08%"
"04/07/2024","30.732","26.495","30.980","26.460","5.44K","15.51%"
"03/31/2024","26.605","27.340","27.500","25.185","4.29K","-2.69%"
"03/24/2024","27.340","28.825","29.070","27.150","1.06K","-1.57%"
"03/17/2024","27.776","28.025","29.675","26.350","2.43K","2.78%"
"03/10/2024","27.026","25.970","27.295","24.355","2.64K","2.41%"
"03/03/2024","26.390","25.200","28.685","24.870","1.67K","2.25%"
"02/25/2024","25.809","23.200","25.900","23.075","0.98K","12.54%"
"02/18/2024","22.934","24.355","24.690","22.650","1.53K","-7.60%"
"02/11/2024","24.820","26.180","26.495","24.415","3.02K","-8.46%"
